locus_id,category,subfamily_raw,subfamily,subfamily_alias,group,class,include
ERV316A3_10p13b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p14a,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p14b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p14c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p14d,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.1a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.1b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.1c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.1d,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.2,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.3a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.3b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.3c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p15.3d,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.21a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.21b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.21c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.22a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.22b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.23a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.23b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q11.23c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1d,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1e,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1f,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1g,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.1h,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.2a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.2b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q21.3,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.1a,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.1b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.3a,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.3b,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.3c,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q22.3d,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.1a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.1b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.2a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.2b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.31a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.31b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.31c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q23.33,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q24.2,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1d,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1e,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1f,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1g,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1h,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1i,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1j,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.1k,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.2a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.2b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.3a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.3b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.3c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q25.3d,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q26.12,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q26.13,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q26.3a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10q26.3b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11_GL383547v1_alt,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11_JH159137v1_alt,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11_KI270826v1_alt,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11_KI270903v1_alt,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11p11.2,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11p12a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11p12b,prototype,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_11p12c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
